"Key","Name_EN","Name_TH","Desc_EN","Desc_TH"
"ACH_BALANCE_FOREVER_LOST","Balance Forever Lost","สมดุลสูญหายตลอดกาล","Fight against the Guardian Twins simultaneously and emerge victorious.","ต่อสู้กับผู้พิทักษ์แฝดพร้อมกันและชนะ"
"ACH_BLACKCAT_DEJAVU","Déjà vu","เดจาวู","Pet the cat.","ลูบแมว"
"ACH_BURNING_LOVE","Burning Love","ความรักลุกโชน","Acquire Pyrana's Love.","ได้รับความรักของไพราน่า"
"ACH_CHAOTIC_GOOD","Chaotic Good","โกลาหลดี","Use Legendary Chaos a total of 5 times.","ใช้ความโกลาหลระดับตำนานรวม 5 ครั้ง"
"ACH_DESPERATE_HERO","Desperate Hero","วีรบุรุษสิ้นหวัง","Defeat 30 enemies in a row while your Health is below 40%.","เอาชนะศัตรู 30 ตัวติดต่อกันขณะที่พลังชีวิตต่ำกว่า 40%"
"ACH_ELECTRIC_TYPE","Electric Type","ประเภทไฟฟ้า","Deal 1,500 or more damage in a single hit.","สร้างความเสียหาย 1,500 ขึ้นไปในการโจมตีครั้งเดียว"
"ACH_ELEMENTALS_101","Introduction to Elements","บทนำสู่ธาตุ","Defeat enemies affected by all 4 elements 70 times.","เอาชนะศัตรูที่ได้รับผลกระทบจากธาตุทั้ง 4 รวม 70 ครั้ง"
"ACH_EMPTY_CANVAS","Empty Canvas","ผืนผ้าใบว่างเปล่า","Enter the Pure White Dream 2 times in total.","เข้าสู่ความฝันขาวบริสุทธิ์รวม 2 ครั้ง"
"ACH_ETERNAL_REST","Eternal Rest","การพักผ่อนนิรันดร์","Deliver a total of 50 finishing blows to Soul Swordsmen using basic attacks.","ทำการโจมตีจบศัตรูนักดาบวิญญาณด้วยการโจมตีพื้นฐานรวม 50 ครั้ง"
"ACH_EVERYONE_LETS_NOT_PANIC","Keep Calm and Carry On","สงบสติอารมณ์และทำต่อไป","Defeat Heroic Bosses 8 times while your Health is below 25%.","เอาชนะบอสวีรบุรุษ 8 ครั้งขณะที่พลังชีวิตต่ำกว่า 25%"
"ACH_FIGHTING_COLD_WITH_COLD","Fight Fire with Fire","ใช้ไฟสู้ไฟ","Defeat the Snowy Mountain King while having 4 Cold damage Memories.","เอาชนะราชาภูเขาหิมะขณะมีความทรงจำความเสียหายน้ำแข็ง 4"
"ACH_FLEXIBLE_DIET","Flexible Diet","อาหารยืดหยุ่น","During a single adventure, let your Health fall below 40% and then bring it back up to at least 75% 10 times.","ในการผจญภัยครั้งเดียว ปล่อยให้พลังชีวิตลดลงต่ำกว่า 40% แล้วฟื้นกลับขึ้นอย่างน้อย 75% รวม 10 ครั้ง"
"ACH_FOUR_OF_A_KIND","Four of a Kind","สี่แบบเดียวกัน","Enter the Pure White Dream while having 4 Memories of the same type.","เข้าสู่ความฝันขาวบริสุทธิ์ขณะมีความทรงจำประเภทเดียวกัน 4"
"ACH_GOD_PROTECTS_ME","God Protects Me","พระเจ้าปกป้องฉัน","In a single adventure, visit locations occupied by Hunters 4 times while having a Hunt Threat Level of 5.","ในการผจญภัยครั้งเดียว เยี่ยมชมสถานที่ที่นักล่าครอบครอง 4 ครั้งขณะมีระดับภัยคุกคามการล่า 5"
"ACH_HEAVIER_THAN_ATLAS","Heavier than Atlas","หนักกว่าแอตลาส","Reach 3,000 Maximum Health.","ถึงพลังชีวิตสูงสุด 3,000"
"ACH_IN_CARNAGE_I_BLOOM","In Carnage I Bloom","ในการสังหารฉันผลิบาน","Empower Memories that deal Dark damage 20 times in a single adventure.","เสริมพลังความทรงจำที่สร้างความเสียหายมืด 20 ครั้งในการผจญภัยครั้งเดียว"
"ACH_JUST_STAY_STILL","Now Now Stay Still","เอาล่ะอยู่นิ่งๆ","Have 4 Active Memories at once that can Stun, Root, or Knockback.","มีความทรงจำใช้งาน 4 พร้อมกันที่สามารถสตัน รูท หรือผลักได้"
"ACH_KYAAAAAA","AAAAAAAHH!!","อ๊าาาาาาา!!","Survive a single hit that deals 70% or more of your Maximum Health while you have no Barrier.","รอดจากการโจมตีครั้งเดียวที่สร้างความเสียหาย 70% ขึ้นไปของพลังชีวิตสูงสุดขณะไม่มีเกราะป้องกัน"
"ACH_LOYAL_CUSTOMER","Loyal Customer","ลูกค้าประจำ","Activate the Shrine of Guidance 15 times in a single adventure.","เปิดใช้งานศาลเจ้าแห่งการนำทาง 15 ครั้งในการผจญภัยครั้งเดียว"
"ACH_MASTER_OF_MYSTIC_ARTS","Master of Mystic Arts","ปรมาจารย์ศิลปะลึกลับ","Have 4 Active Memories at once with a cooldown of 3 seconds or less.","มีความทรงจำใช้งาน 4 พร้อมกันที่มีคูลดาวน์ 3 วินาทีหรือน้อยกว่า"
"ACH_ME_LOVE_GLOWY_STUFF","Twinkle Twinkle","ระยิบระยับ","Enter the Pure White Dream while having 4 Active Light Attribute Memories.","เข้าสู่ความฝันขาวบริสุทธิ์ขณะมีความทรงจำธาตุแสงใช้งาน 4"
"ACH_MIDAS_HIMSELF","Midas Incarnate","มิดาสแห่งยุค","Possess 6,000 Gold.","มีทอง 6,000"
"ACH_MINE_AND_CRAFT","Mine and Craft","ขุดและสร้าง","Destroy 3 Pitch-Black Ore.","ทำลายแร่ดำสนิท 3"
"ACH_NOVICE_TREASURE_HUNTER","Novice Treasure Hunter","นักล่าสมบัติมือใหม่","Open a treasure chest for the first time.","เปิดหีบสมบัติครั้งแรก"
"ACH_OMEGA_POINT","Omega Point","จุดโอเมก้า","Enter the Pure White Dream while having cast only one type of Memory during a single adventure.","เข้าสู่ความฝันขาวบริสุทธิ์ขณะใช้ความทรงจำเพียงประเภทเดียวในการผจญภัยครั้งเดียว"
"ACH_PEW_PEW_PEW","Pew Pew Pew!","ปิ้ว ปิ้ว ปิ้ว!","Apply buffs to allies other than yourself a total of 200 times.","ใส่บัฟให้พันธมิตรนอกจากตัวเองรวม 200 ครั้ง"
"ACH_PRAISE_THE_SUN","Praise the Sun!","สรรเสริญดวงอาทิตย์!","Apply a total of 3,000 Fire stacks to enemies.","ใส่สแต็กไฟให้ศัตรูรวม 3,000"
"ACH_PYROMANIA","Pyromaniac","คลั่งไฟ","Defeat 250 burning enemies.","เอาชนะศัตรูที่กำลังลุกไหม้ 250 ตัว"
"ACH_REAP_WHAT_YOU_SOW","Reap What You Sow","เก็บเกี่ยวสิ่งที่หว่าน","Activate the Shrine of Dismantling 12 times.","เปิดใช้งานศาลเจ้าแห่งการรื้อถอน 12 ครั้ง"
"ACH_RUN_ME_LIKE_A_RACE_HORSE","Whatever It Takes","ทำทุกอย่างที่ต้องทำ","Defeat an enemy while they have 30 or more Fire stacks.","เอาชนะศัตรูขณะที่พวกเขามีสแต็กไฟ 30 ขึ้นไป"
"ACH_SHIELD_BATTERY","Barrier Battery","แบตเตอรี่เกราะป้องกัน","Mitigate a total of 20,000 damage from enemies using Barriers.","ลดความเสียหายจากศัตรูรวม 20,000 โดยใช้เกราะป้องกัน"
"ACH_SHOOT_FOR_THE_MOON","Shoot for the Moon","ยิงไปที่ดวงจันทร์","Land 80 finishing blows on enemies from an extreme distance.","ทำการโจมตีจบศัตรูจากระยะไกลมากรวม 80 ครั้ง"
"ACH_SNAKE_IN_THE_GRASS","Snake in the Grass","งูในหญ้า","Take the Merchant's unattended backpack 12 times.","หยิบเป้สะพายหลังที่พ่อค้าไม่ได้ดูแล 12 ครั้ง"
"ACH_SUPPORT_MAIN","Support Specialist","ผู้เชี่ยวชาญสนับสนุน","Have 4 healing Active Memories at once.","มีความทรงจำใช้งานฟื้นฟู 4 พร้อมกัน"
"ACH_SUSPICIOUSLY_WEALTHY_TRAVELER","Suspiciously Wealthy Traveler","นักเดินทางร่ำรวยน่าสงสัย","Spend a total of 2,000 Gold.","ใช้จ่ายทองรวม 2,000"
"ACH_TASTE_OF_THEIR_OWN_MEDICINE","Taste of Their Own Medicine","ลิ้มรสยาของตัวเอง","Defeat the Demon of the Forest by clawing it.","เอาชนะปีศาจแห่งป่าด้วยการข่วน"
"ACH_TEKKAI","Iron Body","ร่างกายเหล็ก","Gain a Barrier equal to or greater than 300% of your Maximum Health.","ได้รับเกราะป้องกันเท่ากับหรือมากกว่า 300% ของพลังชีวิตสูงสุด"
"ACH_THEYRE_JUST_BIG_CATS","They're Just Big Cats","พวกมันแค่แมวตัวใหญ่","Land a finishing blow on Thunder Tigers with lightning 25 times.","ทำการโจมตีจบเสือฟ้าร้องด้วยฟ้าผ่า 25 ครั้ง"
"ACH_THE_EIGHTH_TROPHY","The Eighth Trophy","ถ้วยรางวัลที่แปด","Acquire Unique Memories or Essences from Heroic Bosses 8 times.","ได้รับความทรงจำหรือแก่นเอกลักษณ์จากบอสวีรบุรุษ 8 ครั้ง"
"ACH_THOUSAND_THUNDERS","A Thousand Thunders","พันฟ้าร้อง","Land a total of 1,000 critical strikes.","ทำการโจมตีคริติคอลรวม 1,000 ครั้ง"
"ACH_THROUGH_TIME_AND_SPACE","Transcendent Speed","ความเร็วเหนือกาลเวลา","Reach 6 Attack Speed per second.","ถึงความเร็วโจมตี 6 ต่อวินาที"
"ACH_TRUE_SUPPORT","True Support","สนับสนุนแท้จริง","Fully heal an allied Traveler below 30% Health within 1 seconds.","ฟื้นฟูนักเดินทางพันธมิตรที่มีพลังชีวิตต่ำกว่า 30% เต็มภายใน 1 วินาที"
"ACH_ULTRA_RAPID_FIRE","Ultra Rapid Fire","ยิงเร็วสุดขีด","Cast 12 Memories within 8 seconds.","ใช้ความทรงจำ 12 ภายใน 8 วินาที"
"ACH_WHOS_THE_PREY_NOW","Who's the Prey Now","ใครเป็นเหยื่อตอนนี้","Defeat 70 Hunters.","เอาชนะนักล่า 70 ตัว"
"ACH_DECEIVING_LOOKS","Deceiving Looks","รูปลักษณ์หลอกลวง","Defeat 10 Heroic Bosses as Aurena.","เอาชนะบอสวีรบุรุษ 10 ตัวในฐานะออเรนา"
"ACH_HORNS_FEATHERS_AND_GOLD","Horns, Feathers, and Gold","เขา ขนนก และทอง","Heal yourself or allies for a total of 25,000 Health.","ฟื้นฟูตัวเองหรือพันธมิตรรวม 25,000 พลังชีวิต"
"ACH_IMMORTALITY_ACHIEVED","Immortality Achieved","บรรลุความเป็นอมตะ","Cast Golden Explosion 9 times within 5 seconds as Aurena.","ใช้การระเบิดทองคำ 9 ครั้งภายใน 5 วินาทีในฐานะออเรนา"
"ACH_OVERFLOWING_HEALS","Overflowing Healing","การฟื้นฟูล้นเหลือ","As Aurena, fully restore your Health in one use of Dangerous Theory when your Health is below 40%.","ในฐานะออเรนา ฟื้นฟูพลังชีวิตเต็มในการใช้ทฤษฎีอันตรายครั้งเดียวเมื่อพลังชีวิตต่ำกว่า 40%"
"ACH_DOUBLE_VISION","Double Vision","มองเห็นสองภาพ","Deal a total of 250,000 Dark damage to enemies as Bismuth.","สร้างความเสียหายมืดต่อศัตรูรวม 250,000 ในฐานะบิสมัท"
"ACH_LIKE_A_BREEZE","A Piece of Cake","เรื่องง่ายๆ","Defeat a Heroic Boss without taking any damage as Bismuth.","เอาชนะบอสวีรบุรุษโดยไม่ได้รับความเสียหายในฐานะบิสมัท"
"ACH_LOOK_RAINBOW","Look! A Rainbow!","ดูสิ! รุ้ง!","Enter the Pure White Dream as Bismuth.","เข้าสู่ความฝันขาวบริสุทธิ์ในฐานะบิสมัท"
"ACH_ONCE_UPON_A_TIME","Once Upon a Time","กาลครั้งหนึ่ง","Keep any Traveler's Movement Speed above 900 for 3 seconds.","รักษาความเร็วเคลื่อนที่ของนักเดินทางใดๆ เหนือ 900 เป็นเวลา 3 วินาที"
"ACH_REACTIVATED","Reactivated","เปิดใช้งานใหม่","Breathe life into the wooden doll.","เป่าชีวิตเข้าสู่ตุ๊กตาไม้"
"ACH_BFR_9000","BFR 9000","BFR 9000","Reach 120 Attack Damage with Lacerta.","ถึงความเสียหายโจมตี 120 ด้วยลาเซอร์ตา"
"ACH_JUST_LIKE_THE_OLD_DAYS","Just Like the Old Days","เหมือนสมัยก่อน","Defeat the Heroic Boss 5 times as Lacerta.","เอาชนะบอสวีรบุรุษ 5 ครั้งในฐานะลาเซอร์ตา"
"ACH_UNTOUCHABLE","Untouchable","แตะต้องไม่ได้","Defeat the Heroic Boss with 85% or more Health remaining as Lacerta.","เอาชนะบอสวีรบุรุษด้วยพลังชีวิตเหลือ 85% ขึ้นไปในฐานะลาเซอร์ตา"
"ACH_GO_WITH_THE_FLOW","Go with the Flow","ไปตามกระแส","Defeat 60 enemies in a row without taking damage as Mist.","เอาชนะศัตรู 60 ตัวติดต่อกันโดยไม่ได้รับความเสียหายในฐานะมิสต์"
"ACH_KING_OF_THE_ELEMENTALS","Elemental Lord","ลอร์ดธาตุ","Defeat any elemental 75 times as Mist.","เอาชนะธาตุใดๆ 75 ครั้งในฐานะมิสต์"
"ACH_VINE_IN_CREVICES","Thorny Vines Between the Rocks","เถาหนามระหว่างหิน","Defeat Belphomet within 2 minutes of starting an adventure as Mist.","เอาชนะเบลโฟเมตภายใน 2 นาทีหลังเริ่มการผจญภัยในฐานะมิสต์"
"ACH_FULL_MOON","Full Moon","พระจันทร์เต็มดวง","Enter the Pure White Dream 2 times as Nachia.","เข้าสู่ความฝันขาวบริสุทธิ์ 2 ครั้งในฐานะนาเชีย"
"ACH_SIBLING_FIGHT","Family Feud","ความบาดหมางในครอบครัว","As Nachia, defeat the Demon of the Forest within 6 seconds after dealing the first damage.","ในฐานะนาเชีย เอาชนะปีศาจแห่งป่าภายใน 6 วินาทีหลังสร้างความเสียหายครั้งแรก"
"ACH_THE_CYCLE_OF_REBIRTH","Reincarnation","การเกิดใหม่","As Nachia, defeat a Guardian of Impermanence without taking any damage.","ในฐานะนาเชีย เอาชนะผู้พิทักษ์แห่งความไม่เที่ยงโดยไม่ได้รับความเสียหาย"
"ACH_THE_TRUE_FOREST_SOVEREIGN","The True Ruler of the Forest","ผู้ปกครองป่าที่แท้จริง","Defeat the Demon of the Forest 12 times.","เอาชนะปีศาจแห่งป่า 12 ครั้ง"
"ACH_HOTTER_FIRE_WINS","Hotter Fire Wins","ไฟร้อนกว่าชนะ","Defeat the Burning Giant as Vesper while holding 3 or more Fire Memories.","เอาชนะยักษ์ลุกโชนในฐานะเวสเปอร์ขณะมีความทรงจำไฟ 3 ขึ้นไป"
"ACH_MASTER_OF_HAMMER","Master of the Hammer","ปรมาจารย์ค้อน","Perform 9 basic attacks within 5 seconds using Vesper.","ทำการโจมตีพื้นฐาน 9 ครั้งภายใน 5 วินาทีด้วยเวสเปอร์"
"ACH_PEAK_PERFORMANCE","Peak Performance","ประสิทธิภาพสูงสุด","Have 3 Dash or Teleport Memories at once as Vesper.","มีความทรงจำพุ่งหรือเทเลพอร์ต 3 พร้อมกันในฐานะเวสเปอร์"
"ACH_RAGE_WITHOUT_BOUNDS","Boundless Rage","ความโกรธไร้ขอบเขต","Reach the Starry Dream.","ถึงความฝันดาวดวงดาว"
"ACH_NIGHT_OF_COUNTING_THE_STARS","Night of Counting the Stars","คืนนับดาว","Reach 140 Ability Power with Yubar.","ถึงพลังความสามารถ 140 ด้วยยูบาร์"
"ACH_ODE_TO_THE_STARS","Ode to the Stars","บทกวีแด่ดวงดาว","Reach 55 Attack Damage with Yubar.","ถึงความเสียหายโจมตี 55 ด้วยยูบาร์"
"ACH_PEACE_AMID_THE_STORM","Peace Amid the Storm","สันติท่ามกลางพายุ","Deal a total of 400,000 Light damage to enemies as Yubar.","สร้างความเสียหายแสงต่อศัตรูรวม 400,000 ในฐานะยูบาร์"
"ACH_PURE_IMAGINATION","Pure Imagination","จินตนาการบริสุทธิ์","Acquire a total of 450 Dream Dust.","ได้รับฝุ่นความฝันรวม 450"
"ACH_BARE_SKIN_SUPREMACY","Naked and Unafraid","เปลือยและไม่กลัว","Enter the Pure White Dream 2 time(s) without receiving or granting any shields.","เข้าสู่ความฝันขาวบริสุทธิ์ 2 ครั้งโดยไม่ได้รับหรือให้เกราะป้องกันใดๆ"
"ACH_EMBRACE_MORTALITY","Embrace Mortality","โอบกอดความตาย","Get cursed 6 times in a single adventure.","ถูกสาป 6 ครั้งในการผจญภัยครั้งเดียว"
"ACH_EMPRESS_OF_PAIN","Empress of Pain","จักรพรรดินีแห่งความเจ็บปวด","Get cursed a total of 3 times in World 5 or beyond.","ถูกสาปรวม 3 ครั้งในโลก 5 ขึ้นไป"
"ACH_FEELS_LIKE_HOME","Feels Like Home","รู้สึกเหมือนบ้าน","Visit 12 rooms occupied by Hunters in a single adventure.","เยี่ยมชมห้อง 12 ห้องที่นักล่าครอบครองในการผจญภัยครั้งเดียว"
"ACH_HUNTERS_WHAT_HUNTERS","Hunters? What Hunters?","นักล่า? นักล่าอะไร?","Enter the Pure White Dream 3 times without slaying any Hunters.","เข้าสู่ความฝันขาวบริสุทธิ์ 3 ครั้งโดยไม่ฆ่านักล่าใดๆ"
"ACH_MASTER_OF_EVASION","Master of Evasion","ปรมาจารย์การหลบหลีก","Complete the Forest of Turbulence without taking any damage from enemies.","ผ่านป่าแห่งความปั่นป่วนโดยไม่ได้รับความเสียหายจากศัตรู"
"ACH_M_M_M_MONSTER_KILL","M-M-M-MONSTER KILL!","ฆ่า-ฆ่า-ฆ่ามอนสเตอร์!","Land a finishing blow on 16 or more enemies with a single Memory cast.","ทำการโจมตีจบศัตรู 16 ตัวขึ้นไปด้วยการใช้ความทรงจำครั้งเดียว"
"ACH_NO_NEED_FOR_YOUR_HELP","I've Got This!","ฉันทำได้เอง!","Enter the Pure White Dream 2 times without using the Shrine of Guidance.","เข้าสู่ความฝันขาวบริสุทธิ์ 2 ครั้งโดยไม่ใช้ศาลเจ้าแห่งการนำทาง"
"ACH_PRAYER_FOR_THE_DREAMERS","Prayer for the Dreamers","คำอธิษฐานสำหรับผู้ฝัน","Enter a new location 12 times while your health is at or below 40% in a single run.","เข้าสู่สถานที่ใหม่ 12 ครั้งขณะที่พลังชีวิตอยู่ที่หรือต่ำกว่า 40% ในการเล่นครั้งเดียว"
"ACH_VIVID_DREAM","Vivid Dream","ความฝันสดใส","Enter the Pure White Dream on Nightmare difficulty.","เข้าสู่ความฝันขาวบริสุทธิ์ในระดับความยากฝันร้าย"
"ACH_WHY_YOU_BULLY_ME","Why You Bully Me?","ทำไมคุณรังแกฉัน?","Scare or defeat the Merchant 20 times.","ทำให้พ่อค้ากลัวหรือเอาชนะพ่อค้า 20 ครั้ง"
"ACH_WRIST_FRIENDLY_BUILD","Wrist-Friendly Build","บิลด์เป็นมิตรกับข้อมือ","Enter Pure White Dream with 4 active Memories that have a cooldown of 6 seconds or longer.","เข้าสู่ความฝันขาวบริสุทธิ์ด้วยความทรงจำใช้งาน 4 ที่มีคูลดาวน์ 6 วินาทีขึ้นไป"
